Spanish;PoS;English
mujer;nf;woman, wife
multa;nf;fine, penalty, citation
múltiple;adj;multiple, many
multiplicar;v;to multiply
multitud;nf;multitude
mundial;adj;worldwide
mundo;nm;world
muñeca;nf;doll, wrist
municipal;adj;municipal, town
municipio;nm;municipality, town
muralla;nf;city wall
murmullo;nm;murmur, whispering
murmurar;v;to murmur, whisper, mutter
muro;nm;(outer) wall, rampart
muscular;adj;muscular
músculo;nm;muscle
museo;nm;museum
música;nf;music
musical;adj;musical
músico;nm/f;musician
muslo;nm;thigh
musulmán;adj;Moslem, Muslim
mutuo;adj;mutual
muy;adv;very, really
nacer;v;to be born
nacimiento;nm;birth, origin
nación;nf;nation
nacional;adj;national
nacionalidad;nf;nationality
nacionalista;adj;nationalist, nationalistic
nada;pron;nothing, (not) at all
nadar;v;to swim
nadie;pron;nobody, anybody
nalgas;nf;buttocks, backside, bottom
naranja;nf;orange (fruit)
narcotráfico;nm;drug trafficking
nariz;nf;nose
narración;nf;narration, account
narrador;nm/f;narrator
narrar;v;to narrate, tell
narrativa;nf;narrative, story
narrativo;adj;narrative
natal;adj;native, birth
nativo;adj;native
natural;adj;natural
naturaleza;nf;nature, character
naturalmente;adv;naturally
naval;adj;naval
nave;nf;spacecraft, ship
navegación;nf;navigation, shipping
navegador;nm/f;browser, navigator
navegar;v;to navigate, sail
navidad;nf;Christmas
necesariamente;adv;necessarily
necesario;adj;necessary
necesidad;nf;necessity, need
necesitar;v;to need
negar;v;to deny, refuse
negativa;nf;negative, denial
negativo;adj;negative, pessimistic
negociación;nf;negotiation
negociar;v;to negotiate, deal (with/in)
negocio;nm;business, transaction
negro;adj;black
nene;nm/f;baby, small child
nervio;nm;nerve
nervioso;adj;nervous, uptight
ni conj not even, neither, nor
nicaragüense;adj;Nicaraguan
nido;nm;nest
niebla;nf;fog
nieto;nm;grandchild
nieve;nf;snow
niña;nf;child, young girl
niñez;nf;childhood, infancy
ninguno;adj;no, none, nobody (PRON)
niño;nm;child, little boy
nivel;nm;level
no;adv;no
noble;adj;noble
nobleza;nf;nobility, uprightness
noche;nf;night, evening
noción;nf;notion, idea
nocturno;adj;nocturnal, evening
nombramiento;nm;appointment, nomination
nombrar;v;to name, appoint
nombre;nm;name, noun
norma;nf;standard, pattern, norm
normal;adj;normal, usual, regular
normalmente;adv;normally
noroeste;nm;northwest
norte;nm;north
norteamericano;adj;North American
nos;pron;us (obj)
nosotros;pron;we (subj)
nostalgia;nf;nostalgia, homesickness
nota;nf;note, grade
notable;adj;outstanding, noteworthy
notar;v;to notice
noticia;nf;news
noticias;nf;news
novedad;nf;latest news, newness
novedoso;adj;novel, new
novela;nf;novel
novelista;nc;novelist
noventa;num;ninety
novia;nf;girlfriend, bride
noviembre;nm;November
novio;nm;boyfriend, groom
nube;nf;cloud
nuclear;adj;nuclear
núcleo;nm;nucleus, core
nudo;nm;knot
nuestro;adj;our
nuevamente;adv;anew, again
nueve;num;nine
nuevo;adj;new
nulo;adj;void, null
número;nm;number
numeroso;adj;numerous
nunca;adv;never, ever
o;conj;or
obedecer;v;to obey
obispo;nm;bishop
objetivo;nm;objective
objeto;nm;object, thing
obligación;nf;obligation
obligado;adj;obliged, required
obligar;v;to obligate, force
obligatorio;adj;obligatory, compulsory
obra;nf;work, book, deed
obrero;nm/f;worker, laborer
observación;nf;observation
observador;nm;observer
observar;v;to observe
obsesión;nf;mania, obsession
obstáculo;nm;obstacle
obstante;adv;however, nevertheless
obtener;v;to obtain
obviamente;adv;obviously
obvio;adj;obvious
ocasión;nf;opportunity, occasion
ocasionar;v;to occasion, bring about
occidental;adj;occidental, Western
occidente;nm;West
océano;nm;ocean
ochenta;num;eighty
ocho;num;eight
octubre;nm;October
ocultar;v;to hide
oculto;adj;hidden, occult
ocupación;nf;occupation, use
ocupar;v;to occupy, use
ocurrir;v;to happen, occur
odiar;v;to hate
odio;nm;hatred
oeste;nm;west
ofender;v;to offend
ofensiva;nf;offensive, attack
ofensivo;adj;offensive, aggressive
oferta;nf;offer, bid, supply
oficial;adj;official, authorized
oficialmente;adv;officially
oficina;nf;office
oficio;nm;job, occupation, function
ofrecer;v;to offer, present
oh;interj;oh
oído;nm;hearing, ear
oír;v;to hear
ojalá;interj;hopefully
ojo;nm;eye
ola;nf;wave, billow
oler;v;to smell
olímpico;adj;Olympic, Olympian
olla;nf;pot, kettle
olor;nm;smell, odor, fragrance
olvidar;v;to forget
olvido;nm;forgetfulness, omission
once;num;eleven
onda;nf;wave, ripple
opaco;adj;dull, opaque, heavy
opción;nf;option, choice
ópera;nf;opera
operación;nf;operation
operador;nm/f;operator
operar;v;to operate
operativo;adj;operative, operational
opinar;v;to think, be of the opinion
opinión;nf;opinion, view
oponer;v;to oppose
oportunidad;nf;opportunity, chance
oportuno;adj;opportune, timely
oposición;nf;opposition
opositor;nm/f;opponent
optar;v;to choose, opt for
optimismo;nm;optimism
optimista;adj;optimistic
óptimo;adj;optimum
opuesto;adj;opposite, contrary
oración;nf;prayer
oral;adj;oral
orar;v;to pray, speak
órbita;nf;orbit, socket, field
orden;nmf;order, sequence (m), religious (f)
ordenado;adj;organized, clean
ordenador;nm;computer
ordenar;v;to put in order, organize
ordinario;adj;vulgar, ordinary
oreja;nf;ear
orgánico;adj;organic
organismo;nm;organism, (human) body
organización;nf;organization
organizado;adj;organized
organizar;v;to organize
órgano;nm;organ
orgullo;nm;pride
orgulloso;adj;proud, arrogant
orientación;nf;orientation, direction
oriental;adj;Eastern, oriental
orientar;v;guide, show the way
oriente;nm;East
origen;nm;origin, cause
original;adj;original
originar;v;to give rise (to), cause
originario;adj;native to, originate from
orilla;nf;shore, edge
oro;nm;gold
orquesta;nf;orchestra, dance band
os;pron;you (obj-pl/+fam)
oscilar;v;oscillate
oscurecer;v;to get dark
oscuridad;nf;darkness
oscuro;adj;dark, obscure
oso;nm;bear
otoño;nm;autumn
otorgar;v;to give, grant, award
otro;adj;other, another
oveja;nf;sheep, ewe
oxígeno;nm;oxygen
oyente;nc;listener, hearer
paciencia;nf;patience
paciente;nc;patient
pacífico;adj;peaceful
pacto;nm;pact, agreement
padecer;v;to suffer
padre;nm;father
pagar;v;to pay
página;nf;page
pago;nm;payment
país;nm;country
paisaje;nm;landscape
paja;nf;straw, thatching
pájaro;nm;bird
palabra;nf;word
palacio;nm;palace
pálido;adj;pale, ghastly, faded
palma;nf;palm tree, palm
palmera;nf;palm tree
palo;nm;stick, pole
paloma;nf;dove
palpar;v;to feel, touch, fondle
pan;nm;bread
panel;nm;panel, screen
pánico;nm;panic
panorama;nm;panorama, landscape
pantalla;nf;screen, monitor
pantalón;nm;pants, trousers
pañuelo;nm;handkerchief, shawl
papa;nmf;Pope (m), potato (f)
papá;nm;dad
papel;nm;paper, role, part
paquete;nm;package, packet
par;nmf;pair, couple (m), a la p.: at same time
para;prep;for, to, in order to
paraguayo;adj;Paraguayan
paraíso;nm;paradise
paralelo;adj;parallel
paralizar;v;to paralyze
parámetro;nm;parameter
parar;v;to stop (moving)
parcial;adj;partial, biased
pardo;adj;brown, dark, dim
parecer;v;to seem, look like
parecer;nm;opinion, looks
pared;nf;(interior) wall
pareja;nf;couple, pair
pariente;nc;relative
parir;v;to give birth
parlamentario;adj;parliamentary
parlamento;nm;parliament, dialogue
paro;nm;labor strike, attack
párpado;nm;eyelid
parque;nm;park
párrafo;nm;paragraph
parroquia;nf;parish
parte;nf;part, portion
participación;nf;participation, involvement
participante;nm;participant
participar;v;to participate
partícula;nf;particle
particular;adj;particular, peculiar
particularmente;adv;particularly, personally
partida;nf;game, match, departure
partidario;adj;in favor of, supportive
partido;nm;party, group, (sports) match
partir;v;to divide, leave, a p. de: starting
parto;nm;birth
pasado;adj;past, last
pasaje;nm;fare, passage, lane
pasajero;nm/f;passenger
pasar;v;to pass, spend (time)
pasear;v;to go for a walk, ride
paseo;nm;walk, ride
pasillo;nm;hall, corridor
pasión;nf;passion, desire
pasivo;adj;passive
paso;nm;step, pace
pasta;nf;pasta, dough
pastilla;nf;pill, capsule
pasto;nm;grass, pasture
pastor;nm/f;shepherd, pastor
pata;nf;leg, paw
patada;nf;kick, punt
patio;nm;courtyard, playground, yard
pato;nm;duck
patria;nf;native land, fatherland
patrimonio;nm;patrimony, inheritance
patrón;nm;employer, landlord, patron saint
pausa;nf;pause
pauta;nf;guideline, rule, standard
paz;nf;peace
pecado;nm;sin
pecar;v;to sin
pecho;nm;chest, breast
peculiar;adj;peculiar
pedagógico;adj;pedagogical, teaching
pedazo;nm;piece, bit
pedir;v;to ask for, request
pegar;v;to hit, stick (on)
pelea;nf;fight, quarrel
pelear;v;to fight, struggle
película;nf;movie, film
peligro;nm;danger, menace
peligroso;adj;dangerous
pelo;nm;hair
pelota;nf;ball
pena;nf;trouble, valer la p.: be of worth
penal;adj;penal
pendiente;nm;slope, descent, earring
pendiente;adj;aware of, pending
penetrar;v;to penetrate, come in
península;nf;peninsula
pensamiento;nm;thought, thinking
pensar;v;to think
pensión;nf;boarding house
penumbra;nf;semidarkness, twilight
peón;nm;unskilled laborer, field hand
peor;adj;worse, worst
pequeñito;adj;very small, tiny
pequeño;adj;little, small, young
percatar;v;to inform, become aware
percepción;nf;perception
percibir;v;to perceive, notice
perder;v;to lose, miss
pérdida;nf;loss
perdido;adj;lost
perdón;nm;forgiveness, pardon
perdonar;v;to forgive, excuse
perfección;nf;perfection
perfeccionar;v;to perfect
perfectamente;adv;perfectly
perfecto;adj;perfect
perfil;nm;profile, outline
perfume;nm;perfume
periódico;nm;newspaper, periodical
periodismo;nm;journalism
periodista;nc;journalist
periodístico;adj;journalistic
período;nm;period, time
perjudicar;v;to endanger
perla;nf;pearl
permanecer;v;to stay, remain
permanente;adj;permanent
permanentemente;adv;permanently
permiso;nm;permission, permit
permitir;v;to allow, permit
pero;conj;but, yet, except
perro;nm;dog
persecución;nf;pursuit, persecution
perseguir;v;to persecute, pursue, chase
persistir;v;to persist
persona;nf;person
personaje;nm;character (e.g. movie)
personal;adj;personal
personalidad;nf;personality, celebrity
personalmente;adv;personally
perspectiva;nf;perspective
pertenecer;v;to belong
perteneciente;adj;pertaining, belonging
pertenencia;nf;membership, property
pertinente;adj;pertinent, relevant
peruano;adj;Peruvian
pesadilla;nf;nightmare
pesado;adj;heavy, boring, tiresome
pesar;prep;a p. de: in spite of
pesar;v;to weigh
pesca;nf;fishing
pescado;nm;fish
pescador;nm/f;fisherman
pescar;v;to fish
pese;conj;in spite of
peseta;nf;peseta (money)
pésimo;adj;dreadful, awful
peso;nm;peso (money), weight, load
pestaña;nf;eyelash
petición;nf;request, petition
petróleo;nm;oil, petroleum
petrolero;adj;oil, petroleum
pez;nm;(alive) fish
piano;nm;piano
picar;v;to bite, sting, itch
pico;nm;y p.: and a bit, beak, peak
pie;nm;foot, base
piedad;nf;pity, mercy
piedra;nf;stone, rock
piel;nf;skin, hide, fur
pierna;nf;leg
pieza;nf;piece, part
pila;nf;(baptismal) font, battery, heap
pilar;nm;pillar, column
pillar;v;to capture, catch
piloto;nm/f;pilot, driver
pino;nm;pine (tree)
pintado;adj;painted
pintar;v;to paint
pintor;nm/f;painter
pintura;nf;painting, paint
pirámide;nf;pyramid
pisar;v;to step on
piscina;nf;swimming pool
piso;nm;floor, story
pista;nf;clue, track, trace
pistola;nf;gun, pistol
placa;nf;plaque, plate, badge
placer;nm;pleasure
plan;nm;plan
plancha;nf;(electric) iron, plate, sheet
planear;v;to plan
planeta;nm;planet
planificación;nf;planning, design
planificar;v;to plan
plano;nm;plane, map, level
plano;adj;flat, plain, even, level
planta;nf;plant, floor
plantar;v;to plant
planteamiento;nm;proposal, exposition
plantear;v;to propose, present
plantilla;nf;template, stencil
plasmar;v;to express, capture
plástico;nm;plastic
plata;nf;silver, money
plataforma;nf;platform, springboard
platicar;v;to talk, chat
plato;nm;plate, dish
playa;nf;beach, seaside
plaza;nf;square, marketplace
plazo;nm;deadline, installment
plenamente;adv;fully
plenitud;nf;fullness, abundance
pleno;adj;complete, full
plomo;nm;lead, bullet
pluma;nf;pen, feather
población;nf;population
poblador;nm/f;settler, resident
poblar;v;to populate, inhabit
pobre;adj;poor
pobreza;nf;poverty, lack, scarcity
poco;adj;little, few, a little bit (ADV)
poder;v;to be able to, can
poder;nm;power
poderoso;adj;powerful
poema;nm;poem
poesía;nf;poetry, poem
poeta;nc;poet
poético;adj;poetic
polaco;adj;Polish
polémica;nf;polemics, argument
polémico;adj;controversial, polemical
policía;nc;police, police force, police officer
policial;adj;police
política;nf;politics, policy
políticamente;adv;politically
político;adj;political
político;nm/f;politician
pollo;nm;chicken
polo;nm;pole, polo, polo shirt
polvo;nm;dust, powder
poner;v;to put (on), get (+
popular;adj;popular
popularidad;nf;popularity
por;prep;by, for, through
porcentaje;nm;percentage
porción;nf;part, portion, share
porque;conj;because
porqué;nm;reason, cause
portada;nf;cover, title page
portador;nm;bearer, carrier
portal;nm;website, portal ,entrance
portar;v;to behave [se], carry
portavoz;nm;spokesperson, mouthpiece
portero;nm/f;porter, doorkeeper, goalie
portugués;adj;Portuguese
porvenir;nm;future, time to come
posar;v;to rest, pose, land
poseer;v;to possess, own
posesión;nf;possession
posibilidad;nf;possibility
posible;adj;possible
posiblemente;adv;possibly
posición;nf;position
positivo;adj;positive
posterior;adj;rear, backside
posteriormente;adv;afterwards
postre;nm;dessert
postular;v;to postulate, nominate
postura;nf;posture, position, attitude
potencia;nf;power, potential
potenciar;v;to strengthen, boost
potente;adj;potent, powerful
pozo;nm;well, shaft
práctica;nf;practice, skill
prácticamente;adv;practically
practicar;v;to practice
práctico;adj;practical, skillful
prado;nm;meadow, field, lawn
precaución;nf;caution, forethought
precedente;nm;precedent
preceder;v;to precede
precio;nm;price, cost, value
precioso;adj;beautiful, precious
precipitación;nf;precipitation, rainfall
precipitar;v;to plunge, hurl, rush
precisamente;adv;precisely
precisar;v;to do exactly, specify
precisión;nf;precision
preciso;adj;precise, necessary
predecir;v;to predict
predicar;v;to preach
predominar;v;to predominate
preferencia;nf;preference
preferible;adj;preferable
preferir;v;to prefer
pregunta;nf;question
preguntar;v;to ask (a question)
prejuicio;nm;prejudice
premio;nm;prize, reward
prenda;nf;piece of clothing
prender;v;to turn on, apprehend
prensa;nf;press
preocupación;nf;worry, concern
preocupado;adj;worried, concerned
preocupar;v;to worry
preparación;nf;preparation, training
preparado;adj;prepared
preparar;v;to prepare
presa;nf;dam, prisoner (f)
presencia;nf;presence, appearance
presenciar;v;to be present at, witness
presentación;nf;presentation, introduction
presentar;v;to introduce, present
presente;nm;present
presentir;v;to sense in advance
preservar;v;to preserve
presidencia;nf;presidency
presidencial;adj;presidential
presidente;nm/f;president
presidir;v;to preside over
presión;nf;pressure
presionar;v;to press, pressure
preso;nm;prisoner
prestación;nf;benefit, lending of service
préstamo;nm;loan, borrowing
prestar;v;to lend
prestigio;nm;prestige
prestigioso;adj;prestigious
presumir;v;to boast, show off, suppose
presunto;adj;alleged, presumed
presupuesto;nm;budget
pretender;v;to attempt
pretensión;nf;pretension, claim, aspiration
pretexto;nm;pretext, excuse
prevalecer;v;to prevail
prevención;nf;prevention, warning
prevenir;v;to avoid, prevent
preventivo;adj;preventive, preemptive
prever;v;to foresee, anticipate, forecast
previamente;adv;previously
previo;adj;previous
previsión;nf;forecast, precaution
prima;nf;female cousin, down payment
primario;adj;primary
primavera;nf;spring, springlike
primero;adj;first
primitivo;adj;primitive
primo;nm;cousin
primordial;adj;fundamental, primary
princesa;nf;princess
principal;adj;main, principal
principalmente;adv;principally, mainly
príncipe;nm;prince
principio;nm;beginning, principle
prioridad;nf;priority
prisa;nf;hurry
prisión;nf;prison, imprisonment
prisionero;nm;prisoner
privado;adj;private
privar;v;to deprive (of)
privilegiado;adj;privileged
privilegio;nm;privilege
probabilidad;nf;probability
probable;adj;probable
probablemente;adv;probably
probar;v;to test, prove, try
problema;nm;problem
problemática;nf;problems, difficulties
procedente;adj;coming (from)
proceder;v;to proceed, start
procedimiento;nm;procedure, proceedings
procesar;v;to process, prosecute
procesión;nf;procession
proceso;nm;process, procedure
proclamar;v;to proclaim
procurar;v;to try, seek
producción;nf;production
producir;v;to produce, cause
productividad;nf;productivity
productivo;adj;productive, profitable
producto;nm;product
productor;nm;producer
profesión;nf;profession, occupation
profesional;adj;professional
profesor;nm/f;professor, teacher
profeta;nm;prophet
profundamente;adv;profoundly, deeply
profundidad;nf;depth, profundity
profundizar;v;to deepen, analyze in depth
profundo;adj;deep, profound
programa;nm;program, plan
programación;nf;programming, scheduling
programar;v;to plan, program
progresar;v;to progress
progresivo;adj;progressive
progreso;nm;progress
prohibición;nf;prohibition
prohibir;v;to prohibit, forbid
prolongado;adj;prolonged, lengthy
prolongar;v;to extend, prolong
promedio;nm;average, middle,
promesa;nf;promise
prometer;v;to promise
promoción;nf;promotion
promover;v;to promote
pronto;adv;soon, quick
pronunciar;v;to pronounce
propaganda;nf;advertising, propaganda
propiamente;adv;exactly, properly
propiciar;v;to favor, foster, aid
propiedad;nf;property
propietario;nm;owner
propio;adj;own, proper, typical
proponer;v;to propose
proporción;nf;proportion
proporcionar;v;to supply
proposición;nf;proposition
propósito;nm;intention, purpose
propuesta;nf;proposal, proposition
prosa;nf;prose
proseguir;v;to continue, carry on
protagonista;nc;protagonist, main character
protagonizar;v;to have the leading role in
protección;nf;protection
protector;nm;protector, defender
proteger;v;to protect
proteína;nf;protein
protesta;nf;objection, protest
protestar;v;to protest, object
protocolo;nm;protocol, convention
provecho;nm;benefit, use
proveedor;nm/f;supplier, dealer
proveer;v;to provide
proveniente;adj;coming from
provenir;v;to come from, be from
provincia;nf;province, region
provincial;adj;provincial
provocar;v;to cause, provoke
proximidad;nf;proximity
próximo;adj;next
proyección;nf;projection, screening
proyectar;v;to project
proyecto;nm;project, plan
prudente;adj;sensible, prudent
prueba;nf;proof, trial, test
psicología;nf;psychology
psicológico;adj;psychological
psicólogo;nm/f;psychologist
publicación;nf;publication
públicamente;adv;publicly, in public
publicar;v;to publish
publicidad;nf;advertising, publicity
publicitario;adj;advertising
público;adj;public
público;nm;public, audience
pudrir;v;to rot, decay
pueblo;nm;people, village
puente;nm;bridge
puerta;nf;door
puerto;nm;port, harbor
pues;conj
puesto;nm;then, well then
pulmón;nm;lung
pulsar;v;to press, beat, strike, throb
pulso;nm;pulse, pulsation
puño;nm;fist, handle, cuff
punta;nf;tip, point
punto;nm;point, dot, period
puntual;adj;punctual
pupila;nf;pupil
puramente;adv;purely, simply
pureza;nf;purity, chastity
puro;adj;pure, clean
puta;nf;whore, prostitute
que;conj;that, which
qué;pron;what?, which?, how (+adj)
quebrar;v;to break, bend, weaken
quedar;v;to remain, stay
quehacer;nm;task, job, chore
queja;nf;complaint
quejar;v;to complain
quemar;v;to burn
querer;v;to want, love
queso;nm;cheese
quien;pron;who, whom
quién;pron;who?, whom?
quieto;adj;still, motionless, calm
química;nf;chemistry, chemist
químico;adj;chemical
quince;num;fifteen
quinientos;num;five hundred
quinto;adj;fifth
quitar;v;to remove, take away
quizás;adv;perhaps, maybe
rabia;nf;rage
racional;adj;rational
radiación;nf;radiation
radical;adj;radical
radicar;v;to lie, be situated
radio;nmf;radio, set (m), communication (f)
ráfaga;nf;burst, gust
raíz;nf;root
rama;nf;branch, bough, limb
ramo;nm;bunch (of flowers), branch
rancho;nm;ranch, farm
rango;nm;rank, range
rápidamente;adv;rapidly, quickly
rapidez;nf;speed, velocity
rápido;adj;quick, fast
raro;adj;strange, rare, scarce
rascar;v;to scratch, scrape
rasgo;nm;feature, trait
rastro;nm;track, sign, flea market
rata;nf;rat
ratificar;v;to ratify
rato;nm;moment, while, time
ratón;nm;mouse, rat
raya;nf;line, ray, stripe
rayo;nm;ray, beam, lightning
raza;nf;race, lineage
razón;nf;reason, tener r.: to be right
razonable;adj;reasonable
razonamiento;nm;reasoning
reacción;nf;reaction
reaccionar;v;to react
real;adj;royal, real, authentic
realidad;nf;reality, actuality
realismo;nm;realism
realista;adj;realistic
realización;nf;fulfillment, realization
realizar;v;to fulfill, carry out
realmente;adv;really, actually, in fact
reanudar;v;to renew, resume
rebelde;nc;rebel, insurgent
rebelión;nf;rebellion
recepción;nf;reception, waiting room
receptor;nm/f;receiver, recipient
receta;nf;recipe, prescription
rechazar;v;to reject
rechazo;nm;rejection, refusal
recibir;v;to receive
recién;adv;recently, just
reciente;adj;recent
recientemente;adv;recently
recinto;nm;grounds, precincts
recitar;v;to recite
reclamar;v;to demand, require
reclamo;nm;claim, complaint, protest
recobrar;v;to recover, regain
recoger;v;to pick up
recomendable;adj;advisable
recomendación;nf;recommendation
recomendar;v;to recommend
reconocer;v;to recognize, admit
reconocimiento;nm;recognition, acknowledgment
reconstrucción;nf;reconstruction
reconstruir;v;to reconstruct
récord;nm;record
recordar;v;to remember, remind
recorrer;v;to travel, cover (distance)
recorrido;nm;journey, itinerary, route
recortar;v;to trim, cut off, clip
recorte;nm;clipping, cutting, trimming
recostar;v;to lean
recto;adj;right, straight, honest
rector;nm/f;principal, rector
recuerdo;nm;memory, keepsake
recuperación;nf;recovery, recuperation
recuperar;v;to recuperate, recover
recurrir;v;to resort to
recursos;nm;resources
red;nf;network, net, system
redacción;nf;editing, wording, essay
redactar;v;to edit, write, compose
redondo;adj;round
reducción;nf;reduction
reducido;adj;reduced, limited
reducir;v;to reduce
reemplazar;v;to replace
referencia;nf;reference, allusion
referente;adj;concerning
referir;v;to refer (to)
reflejar;v;to reflect
reflejo;nm;reflection
reflexión;nf;reflection
reflexionar;v;to reflect, consider on
reforma;nf;reform, improvement
reformar;v;to reform, renovate
reforzar;v;to reinforce, strengthen
refugiar;v;to take shelter, give refuge
refugio;nm;shelter, refuge
regalar;v;to give (as a gift)
regalo;nm;gift, present
regar;v;to water, irrigate
régimen;nm;regime, diet
región;nf;region
regional;adj;regional
regir;v;to rule, govern, manage
registrar;v;to register, record
registro;nm;register, record
regla;nf;rule, ruler, regulation
reglamento;nm;regulations, rules
regresar;v;to return (to a place)
regreso;nm;return
regulación;nf;adjustment, regulation
regular;v;to regulate, adjust
regular;adj;regular
reina;nf;queen
reinado;nm;reign, rule
reinar;v;to reign, prevail
reino;nm;kingdom, reign
reír;v;to laugh (at)
reiterar;v;to reiterate, repeat
reja;nf;grill, railing
relación;nf;relationship, relation
relacionar;v;to relate
relajar;v;to relax
relámpago;nm;lightning
relatar;v;to tell, narrate
relativamente;adv;relatively
relativo;adj;relative
relato;nm;tale, story
relevancia;nf;relevance
relevante;adj;relevant, significant
relieve;nm;relief, poner de r.: to emphasize
religión;nf;religion
religioso;adj;religious
reloj;nm;clock, watch
rematar;v;to finish off, finish up
remediar;v;to heal, cure
remedio;nm;alternative, cure, solution
remitir;v;to remit
remontar;v;to go back to (time)
remoto;adj;remote, far-off
remover;v;to remove
renacimiento;nm;rebirth, Renaissance
rencor;nm;grudge, spite
rendimiento;nm;yield, output, efficiency
rendir;v;[se] to give in, to render
renovación;nf;renewal, renovation
renovar;v;to renew, renovate
renta;nf;income
rentable;adj;profitable
renuncia;nf;resignation, renunciation
renunciar;v;to give up, renounce
reparación;nf;repair, reparation
reparar;v;to repair, restore
repartir;v;to divide, deliver, distribute
reparto;nm;distribution, delivery
repasar;v;to review, revise
repente;adv;de + r.: suddenly
repentino;adj;sudden
repertorio;nm;repertoire, list, index
repetición;nf;repetition
repetir;v;to repeat
repleto;adj;full, overcrowded
replicar;v;to reply
reponer;v;to replace, restore
reportaje;nm;news report
reportar;v;to bring, report
reposar;v;to rest, lie down
reposo;nm;rest, peace
representación;nf;representation
representante;nc;representative
representar;v;to represent
representativo;adj;representative
represión;nf;repression
reprimir;v;to repress
reproducción;nf;reproduction
reproducir;v;to reproduce, repeat
república;nf;republic
republicano;adj;republican
requerimiento;nm;requirement, request, summons
requerir;v;to require
requisito;nm;prerequisite, requirement
resaltar;v;to emphasize
resbalar;v;to slip
rescatar;v;to rescue, save
rescate;nm;rescue, ransom
reseña;nf;review, outline
reserva;nf;reservation, reserve
reservado;adj;reserved, booked
reservar;v;to reserve, book
residencia;nf;residence
residente;adj;resident
residir;v;to reside, live (in)
residuo;nm;residue, waste
resignar;v;to resign, relinquish
resistencia;nf;resistance, opposition
resistente;adj;tough, resistant, durable
resistir;v;to resist, endure
resolución;nf;resolution
resolver;v;to resolve, settle, work out
resonar;v;to resound, ring, echo,
respaldar;v;to back, support, endorse
respaldo;nm;support, backing, back
respectar;v;to concern
respectivamente;adv;respectively
respectivo;adj;respective
respecto;prep;con r. a: regarding
respetar;v;to respect
respeto;nm;respect, regard
respetuoso;adj;respectful
respiración;nf;respiration, breath
respirar;v;to breathe
respiratorio;adj;respiratory, breathing
resplandor;nm;brightness, radiance
responder;v;to answer, respond
responsabilidad;nf;responsibility
responsable;adj;responsible
respuesta;nf;answer, reply
restablecer;v;to re-establish, restore
restante;adj;remaining, leftover
restar;v;to subtract, minimize
restauración;nf;restoration, renovation
restaurante;nm;restaurant
restaurar;v;to restore, reinstate
resto;nm;rest, remainder, leftover
restricción;nf;restriction
restringir;v;to limit, restrict
resucitar;v;to resuscitate
resuelto;adj;resolved, determined
resultado;nm;result, outcome
resultar;v;to result, turn out
resumen;nm;summary
resumir;v;to summarize
resurrección;nf;resurrection
retener;v;to keep, retain
retirada;nf;retreat, withdrawal
retirar;v;to take away, retire
retiro;nm;withdrawal, retreat
reto;nm;challenge, defiance
retomar;v;to retake, restart
retornar;v;to return, give back
retorno;nm;return
retraso;nm;delay
retratar;v;to portray, draw
retrato;nm;portrait, photograph
retroceder;v;to go back
reunión;nf;meeting, reunion
reunir;v;to gather, meet, collect
revelación;nf;revelation
revelar;v;to reveal, disclose
reventar;v;to burst, puncture
revés;nm;al r.: backwards, upside down, inside out
revisar;v;to check, revise, inspect
revisión;nf;checking revision
revista;nf;magazine, journal
revivir;v;to revive
revolución;nf;revolution
revolucionario;adj;revolutionary
revolver;v;to stir, mix, scramble
revólver;nm;revolver, Egun
rey;nm;king
rezar;v;to pray, recite
rico;adj;rich, tasty
ridículo;adj;ridiculous, absurd
rienda;nf;rein, restraint
riesgo;nm;risk
rígido;adj;rigid, stiff, firm
rigor;nm;harshness, rigor
riguroso;adj;rigorous, severe
rincón;nm;corner, nook
río;nm;river
riqueza;nf;riches, wealth
risa;nf;laugh, chuckle
ritmo;nm;rhythm
rito;nm;rite, ritual
ritual;nm;ritual, rite
rival;nc;rival
robar;v;to rob, steal
robo;nm;theft, robbery
roca;nf;rock
rocío;nm;dew
rodar;v;to roll, run, scatter
rodear;v;to surround
rodilla;nf;knee
rogar;v;to implore, pray, ask
rojizo;adj;reddish, ruddy
rojo;adj;red
rol;nm;role
rollo;nm;roll, coil
romance;nm;romance
romano;adj;Roman
romántico;adj;romantic
romper;v;to break
ronda;nf;round
rondar;v;patrol, serenade
ropa;nf;clothes, clothing
ropero;nm;wardrobe, closet
rosa;nf;rose
rosado;adj;pink, rosy
rosario;nm;rosary, beads, string
rostro;nm;face, countenance
roto;adj;broken, torn
rotundo;adj;categorical
rozar;v;to touch (lightly)
rubio;adj;blond, fair
rueda;nf;wheel
ruido;nm;noise
ruina;nf;ruin, collapse
rumbo;nm;direction, course, bearing
rumor;nm;rumor, murmur
ruptura;nf;breakup, rupture
rural;adj;rural, country
ruso;adj;Russian
ruta;nf;route
rutina;nf;routine
sábado;nm;Saturday
sábana;nf;(bed) sheet
saber;v;to know (a fact), find out
saber;nm;knowledge
sabiduría;nf;wisdom, knowledge
sabio;adj;wise, learned
sabor;nm;taste, flavor, sensation
sacar;v;to take out
sacerdote;nm;priest
saco;nm;sack, bag, plunder
sacrificar;v;to sacrifice
sacrificio;nm;sacrifice
sacudir;v;to shake, jolt
sagrado;adj;sacred
sal;nf;salt
sala;nf;room, hall
